"Qty","Value","Device","Package","Parts","Description","",
"1","0 Ohm","R-US_R0402","R0402","R70","RESISTOR, American symbol","",
"2","0 Ohm","R-US_R0603","R0603","R49, R51","RESISTOR, American symbol","",
"10","0.1uF","C-EUC0402","C0402","C1, C3, C10, C12, C13, C14, C19, C20, C23, C57","CAPACITOR, European symbol","",
"3","0.1uF","C-EUC0603","C0603","C2, C40, C47","CAPACITOR, European symbol","",
"4","0.1uF 16V","C-EUC0402","C0402","C32, C34, C37, C51","CAPACITOR, European symbol","",
"8","0.1uF 25V","C-EUC0402","C0402","C55, C59, C61, C62, C64, C65, C67, C68","CAPACITOR, European symbol","",
"1","0.1uF 25V","C-EUC0603","C0603","C27","CAPACITOR, European symbol","",
"4","0.1uF 50V","C-EUC0402","C0402","C33, C35, C38, C52","CAPACITOR, European symbol","",
"4","0.47uF","C-EUC0402","C0402","C31, C36, C39, C53","CAPACITOR, European symbol","",
"1","0.47uF 25V","C-EUC0603","C0603","C48","CAPACITOR, European symbol","",
"1","0.47uF 50V","C-EUC0603","C0603","C28","CAPACITOR, European symbol","",
"2","0ohm","R-US_R0402","R0402","R33, R69","RESISTOR, American symbol","",
"5","100k","R-US_R0402","R0402","R10, R15, R65, R66, R67","RESISTOR, American symbol","",
"22","100k","R-US_R0603","R0603","R1, R3, R4, R6, R7, R8, R9, R11, R12, R13, R14, R35, R36, R47, R52, R53, R54, R55, R56, R57, R64, R71","RESISTOR, American symbol","",
"1","100mOhm","R-US_R2512","R2512","R68","RESISTOR, American symbol","",
"2","100uF","C-EUC1206","C1206","C4, C5","CAPACITOR, European symbol","",
"9","10k","R-US_R0603","R0603","R2, R5, R34, R48, R50, R73, R74, R75, R76","RESISTOR, American symbol","",
"2","10pF","C-EUC0402","C0402","C6, C7","CAPACITOR, European symbol","",
"6","10uF","C-EUC0402","C0402","C24, C26, C50, C73, C74, C75","CAPACITOR, European symbol","",
"1","10uF","C-EUC0603","C0603","C56","CAPACITOR, European symbol","",
"1","10uF 10V","C-EUC0603","C0603","C46","CAPACITOR, European symbol","",
"4","10uF 25V","C-EUC0603","C0603","C30, C70, C71, C72","CAPACITOR, European symbol","",
"2","10uH","ASPI-0630LR","ASPI-0630LR","L6, L7","INDUCTOR","",
"1","12.7k","R-US_R0603","R0603","R38","RESISTOR, American symbol","",
"3","125mOhm","R-US_R2512","R2512","R29, R32, R46","RESISTOR, American symbol","",
"4","12k","R-US_R0603","R0603","R58, R59, R60, R61","RESISTOR, American symbol","",
"3","15k","R-US_R0402","R0402","R26, R30, R44","RESISTOR, American symbol","",
"1","174k","R-US_R0402","R0402","R42","RESISTOR, American symbol","",
"4","1M","R-US_R0402","R0402","R22, R27, R31, R45","RESISTOR, American symbol","",
"1","1k","R-US_R0603","R0603","R17","RESISTOR, American symbol","",
"1","1pF","C-EUC0402","C0402","C11","CAPACITOR, European symbol","",
"1","1uF","C-EUC0402","C0402","C25","CAPACITOR, European symbol","",
"1","1uH","L-USL1812","L1812","L2","INDUCTOR, American symbol","",
"1","2.2k","R-US_R0603","R0603","R16","RESISTOR, American symbol","",
"1","2.2uF","C-EUC0603","C0603","C44","CAPACITOR, European symbol","",
