Refdes,Value,Device,Description,Package,Link
C1,0.1uF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1
C2,0.1uF,C-EUC0603,"CAPACITOR, European symbol",C0603,https://www.digikey.com/product-detail/en/C0603C104K8RACTU/399-1095-1-ND/411370
C3,0.1uF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1
C4,100uF,C-EUC1206,"CAPACITOR, European symbol",C1206,http://www.digikey.com/product-detail/en/C3216X5R0J107M160AB/445-6008-1-ND/2444049?WT.srch=1
C5,100uF,C-EUC1206,"CAPACITOR, European symbol",C1206,http://www.digikey.com/product-detail/en/C3216X5R0J107M160AB/445-6008-1-ND/2444049?WT.srch=1
C6,10pF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/GRM1555C1H100FA01D/490-6186-1-ND/3845386?WT.srch=1
C7,10pF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/GRM1555C1H100FA01D/490-6186-1-ND/3845386?WT.srch=1
C8,6pF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/CBR04C609B1GAC/399-8610-1-ND/3479292
C9,6pF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/CBR04C609B1GAC/399-8610-1-ND/3479292
C10,0.1uF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1
C11,1pF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/GJM1555C1H1R0BB01D/490-6073-1-ND/3845273?WT.srch=1
C12,0.1uF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1
C13,0.1uF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1
C14,0.1uF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1
C15,4.7uF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/CL05A475MQ5NRNC/1276-1056-1-ND/3889142?WT.srch=1
C16,4.7uF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/CL05A475MQ5NRNC/1276-1056-1-ND/3889142?WT.srch=1
C17,4.7uF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/CL05A475MQ5NRNC/1276-1056-1-ND/3889142?WT.srch=1
C18,4.7uF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/CL05A475MQ5NRNC/1276-1056-1-ND/3889142?WT.srch=1
C19,0.1uF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1
C20,0.1uF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1
C21,NOSTUFF,C-EUC0402,"CAPACITOR, European symbol",C0402,No Stuff
C22,NOSTUFF,C-EUC0402,"CAPACITOR, European symbol",C0402,No Stuff
C23,0.1uF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1
C24,10uF,C-EUC0402,"CAPACITOR, European symbol",C0402,http://www.digikey.com/product-detail/en/CL05A106MP5NUNC/1276-1450-1-ND/3889536
