"Part;""Value"";""Device"";""Package"";""Description"";"""";",,Values,Assembly Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ANT1;"""";""ANTENNA"";""PAD-01"";""Antenna"";"""";",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C1;"""";""C-EUC0603"";""C0603"";""CAPACITOR"," European symbol"";"""";",0.1uF,WiFi,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1,,,,,,,,,,,,,,,,,,,,,,,,,,
"C2;"""";""C-EUC0603"";""C0603"";""CAPACITOR"," European symbol"";"""";",0.1uF,WiFi,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1,,,,,,,,,,,,,,,,,,,,,,,,,,
"C3;"""";""C-USC0402"";""C0402"";""CAPACITOR"," American symbol"";"""";",0.1uF,WiFi,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1,,,,,,,,,,,,,,,,,,,,,,,,,,
"C4;"""";""C-USC1206"";""C1206"";""CAPACITOR"," American symbol"";"""";",,WiFi,http://www.digikey.com/product-detail/en/C3216X5R0J107M160AB/445-6008-1-ND/2444049?WT.srch=1,,,,,,,,,,,,,,,,,,,,,,,,,,
"C5;"""";""C-USC1206"";""C1206"";""CAPACITOR"," American symbol"";"""";",,WiFi,http://www.digikey.com/product-detail/en/C3216X5R0J107M160AB/445-6008-1-ND/2444049?WT.srch=1,,,,,,,,,,,,,,,,,,,,,,,,,,
"C6;"""";""C-USC0402"";""C0402"";""CAPACITOR"," American symbol"";"""";",10pF,WiFi,http://www.digikey.com/product-detail/en/GRM1555C1H100FA01D/490-6186-1-ND/3845386?WT.srch=1,,,,,,,,,,,,,,,,,,,,,,,,,,
"C7;"""";""C-USC0402"";""C0402"";""CAPACITOR"," American symbol"";"""";",10pF,WiFi,http://www.digikey.com/product-detail/en/GRM1555C1H100FA01D/490-6186-1-ND/3845386?WT.srch=1,,,,,,,,,,,,,,,,,,,,,,,,,,
"C8;"""";""C-USC0402"";""C0402"";""CAPACITOR"," American symbol"";"""";",6.2pF,WiFi,http://www.digikey.com/product-detail/en/CBR04C609B1GAC/399-8610-1-ND/3479292,,,,,,,,,,,,,,,,,,,,,,,,,,
"C9;"""";""C-USC0402"";""C0402"";""CAPACITOR"," American symbol"";"""";",6.2pF,WiFi,http://www.digikey.com/product-detail/en/CBR04C609B1GAC/399-8610-1-ND/3479292,,,,,,,,,,,,,,,,,,,,,,,,,,
"C10;"""";""C-USC0402"";""C0402"";""CAPACITOR"," American symbol"";"""";",0.1uF,WiFi,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1,,,,,,,,,,,,,,,,,,,,,,,,,,
"C11;"""";""C-USC0402"";""C0402"";""CAPACITOR"," American symbol"";"""";",1pF,WiFi,http://www.digikey.com/product-detail/en/GJM1555C1H1R0BB01D/490-6073-1-ND/3845273?WT.srch=1,,,,,,,,,,,,,,,,,,,,,,,,,,
"C12;"""";""C-USC0402"";""C0402"";""CAPACITOR"," American symbol"";"""";",0.1uF,WiFi,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1,,,,,,,,,,,,,,,,,,,,,,,,,,
"C13;"""";""C-USC0402"";""C0402"";""CAPACITOR"," American symbol"";"""";",0.1uF,WiFi,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1,,,,,,,,,,,,,,,,,,,,,,,,,,
"C14;"""";""C-USC0402"";""C0402"";""CAPACITOR"," American symbol"";"""";",0.1uF,WiFi,http://www.digikey.com/product-detail/en/LMK105BJ104KV-F/587-1227-1-ND/931004?WT.srch=1,,,,,,,,,,,,,,,,,,,,,,,,,,
